wikidata_code;birth;death;name;main_occ;citizenship;bplo1;dplo1;bpla1;dpla1
Q1112337;1981;;Damien_Kabengele;handball;France;15.31388854980469;;-4.331666469573975;
Q1112355;1943;;Pierre_Gadonneix;business;France;-74;;40.70000076293945;
Q1112412;1844;1921;Joseph-Anne-Amédée-François_Ripert-Monclar_–_;diplomat;France;2.351388931274414;6.00694465637207;48.8569450378418;43.78222274780273
Q1112651;1905;1974;René_Dary;actor;France;2.332233428955078;5.463055610656738;48.85052871704102;43.34694290161133
Q1112776;;;Alain_Jakubowicz;film;US;2.351388931274414;;48.8569450378418;
Q1112847;1922;2012;Sergio_de_Castro_(artist);artist;Argentina;-58.38194274902344;4.389722347259522;-34.59972381591797;45.43388748168945
Q1113203;1844;1924;Franz_Schrader;geographer;France;-.5794444680213928;2.351388931274414;44.83777618408203;48.8569450378418
Q1113423;1902;1992;Julien_Saby;player;France;4.853333473205566;5.826944351196289;45.70861053466797;45.24861145019531
Q1113436;1786;1863;Antonio_Brignole_Sale;politician;France;8.93398380279541;8.93398380279541;44.40718460083008;44.40718460083008
Q1113906;1879;1964;Hermann_Barrelet;rower;France;6.93055534362793;;46.99027633666992;
Q1113964;1544;1600;Antoine_du_Verdier;literary;France;4.065277576446533;4.527500152587891;45.60749816894531;45.68444442749023
Q1114001;1990;;Mélinda_Hennaoui;player;Algeria;3.892499923706055;;36.37833404541016;
Q1114324;1842;1914;Paul_Guillaume_(storico);historian;France;6.689722061157227;6.077777862548828;44.59500122070313;44.55861282348633
Q1114376;1939;1982;Albert_Bergamelli;criminale;France;2.392777681350708;13.57527732849121;48.78749847412109;42.85472106933594
Q1114419;;1155;Richard_de_Lingèvres;aristocrat;Italy;-.7038888931274414;16.30833244323731;49.27861022949219;41.23166656494141
Q111447;1911;2000;André_Guinier;physicist;France;6.183610916137695;2.351388931274414;48.69277954101563;48.8569450378418
Q111449;1853;1910;Martial_Caillebotte;photographer;France;2.351388931274414;2.351388931274414;48.8569450378418;48.8569450378418
Q1114536;1948;;Philippe_Caillat;guitar;France;2.351388931274414;;48.8569450378418;
Q1114577;1757;1818;Léon_de_Perthuis_de_Laillevault;architect;France;2.942777872085571;2.351388931274414;48.99250030517578;48.8569450378418
Q1114653;1957;;Josef_Nadj;dancer;France;20.04999923706055;;46.06666564941406;
Q1114784;1836;1909;Louis_Charles_Émile_Lortet;anthropologist;France;4.807499885559082;4.841388702392578;45.71416854858398;45.75888824462891
Q111490;1113;1151;Geoffrey_Plantagenet,_Count_of_Anjou;aristocrat;United_Kingdom;;.4180555641651154;;47.69333267211914
Q1114987;1951;;Francesco_Marino_Mannoia;mafia;Italy;13.36126232147217;;38.11565780639648;
Q1115008;1816;1892;Francesco_Siliprandi;patriota;Italy;10.71666622161865;10.54996967315674;45.15000152587891;45.14102935791016
Q1115192;1973;;Laurent_Sciarra;basket;France;7.268333435058594;;43.70194625854492;
Q1115664;1922;2013;Hélie_de_Saint_Marc;officer;France;-.5794444680213928;4.754166603088379;44.83777618408203;44.39277648925781
Q1115668;1899;1983;Sigismond_Kolos-Vary;painter;France;23.00412178039551;6.829558372497559;46.87375640869141;47.09962844848633
Q1115671;1965;;Dominique_Leurquin;music;France;3.057499885559082;;50.63194274902344;
Q1115863;1949;;Christian_Frémont;actor;France;-14.28333282470703;;14.36666679382324;
Q1115982;1951;;Hervé_Bourde;clarinet;France;5.376389026641846;;43.29666519165039;
Q11161047;1985;;Raimana_Li_Fung_Kuee;football;France;-149.5666656494141;;-17.53333282470703;
Q11161668;1956;;Liliane_Dahlmann;épouse;Spain;7.7688889503479;;49.44472122192383;
Q1116403;1985;;Francesco_De_Biasio;hockey;Italy;12.02146434783936;;46.40663528442383;
Q1116409;1831;1870;Louis_Rémy_Mignot;painter;US;-79.93194580078125;-.1338888853788376;32.78333282470703;50.82416534423828
Q1116827;1950;;Marie-Françoise_Roy;mathematician;France;2.351388931274414;;48.8569450378418;
Q11172596;1888;1980;Thomas_Corbett_(Indian_Army_officer);militar;United_Kingdom;88.33777618408203;.0099999997764826;22.54111099243164;50.90999984741211
Q1117301;1975;;Noan_Lelarge;sport;France;3.726666688919067;;48.51583480834961;
Q1117413;1922;2014;Francis_Cavalier-Bénézet;politician;France;3.641944408416748;3.641944408416748;44.08111190795898;44.08111190795898
Q1117426;1982;;Francesco_Parravicini;football;Italy;9.189999580383301;;45.46694564819336;
Q11174399;1968;;Francesco_Sannino;physicist;Italy;14.25;;40.83333206176758;
Q1117481;1922;2000;Alphonse_Juilland;romanist;Romania;26.08333396911621;-122.1660766601563;44.40000152587891;37.42411041259766
Q1117554;1894;1945;Béatrice_Reinach;nurse;France;2.276488780975342;19.20409965515137;48.86360931396484;50.02619934082031
Q1117646;1838;1891;Charles_Lullier;officer;France;6.130277633666992;-80.36666870117188;48.29861068725586;8.616666793823242
Q1117753;1060;1122;Vitalis_of_Savigny;religious;France;-.5313888788223267;-.5519444346427918;49.29305648803711;48.63222122192383
Q1117810;1944;;Michel_Laurent_(chanteur);singer;France;10.18000030517578;;36.80083465576172;
Q1117881;1944;;Georges_Coste;player;France;2.675833225250244;;42.65805435180664;
Q1118036;1653;1697;Giovanni_Francesco_Grossi;singer;Italy;10.71666622161865;11.53305530548096;43.83333206176758;44.71944427490234
Q1118233;1981;;Florent_Lacasse;athletic;France;2.351388931274414;;48.8569450378418;
Q1118310;1756;1817;Joseph_Anton_Vogel;historian;France;7.239444255828857;13.60743045806885;47.62305450439453;43.44029998779297
